{'id': 1, 'name': 'John', 'department': 'IT'}
{'id': 2, 'name': 'Alice', 'department': 'HR'}
{'id': 3, 'name': 'Bob', 'department': 'Finance'}
{'id': 4, 'name': 'John', 'department': 'IT'}
{'id': 5, 'name': 'Alice', 'department': 'HR'}
{'id': 6, 'name': 'Bob', 'department': 'Finance'}
{'id': 7, 'name': 'John', 'department': 'IT'}
{'id': 8, 'name': 'Alice', 'department': 'HR'}
{'id': 9, 'name': 'Bob', 'department': 'Finance'}
{'id': 10, 'name': 'John', 'department': 'IT'}
{'id': 11, 'name': 'Alice', 'department': 'HR'}
{'id': 12, 'name': 'Bob', 'department': 'Finance'}
{'id': 13, 'name': 'John', 'department': 'IT'}
{'id': 14, 'name': 'Alice', 'department': 'HR'}
{'id': 15, 'name': 'Bob', 'department': 'Finance'}
{'id': 16, 'name': 'John', 'department': 'IT'}
{'id': 17, 'name': 'Alice', 'department': 'HR'}
{'id': 18, 'name': 'Bob', 'department': 'Finance'}
{'id': 19, 'name': 'John', 'department': 'IT'}
{'id': 20, 'name': 'Alice', 'department': 'HR'}
{'id': 21, 'name': 'Bob', 'department': 'Finance'}
{'id': 22, 'name': 'John', 'department': 'IT'}
{'id': 23, 'name': 'Alice', 'department': 'HR'}
{'id': 24, 'name': 'Bob', 'department': 'Finance'}
{'id': 25, 'name': 'John', 'department': 'IT'}
{'id': 26, 'name': 'Alice', 'department': 'HR'}
{'id': 27, 'name': 'Bob', 'department': 'Finance'}
